game_string,play_per_game,timestamp,player_id,field_x,field_y,home_team,away_team,year,day,game_string_ppg
y1_d145_ADQ_ANI,259,9460271,2,-0.2958,-5.835,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9460321,2,-0.2832,-5.8362,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9460371,2,-0.2706,-5.838,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9460421,2,-0.2583,-5.8404,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9460471,2,-0.2463,-5.8434,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9460521,2,-0.234,-5.8464,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9460571,2,-0.222,-5.8497,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9460621,2,-0.21,-5.853,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9460671,2,-0.198,-5.8566,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9460721,2,-0.186,-5.8602,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9460771,2,-0.174,-5.8641,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9460821,2,-0.162,-5.8677,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9460871,2,-0.15,-5.8716,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9460921,2,-0.138,-5.8755,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9460971,2,-0.126,-5.8794,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9461021,2,-0.1143,-5.8833,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9461071,2,-0.1023,-5.8872,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9461121,2,-0.0903,-5.8914,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9461171,2,-0.0786,-5.895,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9461221,2,-0.0666,-5.8992,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9461271,2,-0.0546,-5.9031,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9461321,2,-0.0426,-5.907,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9461371,2,-0.0309,-5.9109,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9461421,2,-0.0192,-5.9148,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9461471,2,-0.0072,-5.9184,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9461521,2,0.0048,-5.9223,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9461571,2,0.0168,-5.9262,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9461621,2,0.0288,-5.9301,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9461671,2,0.0408,-5.9337,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9461721,2,0.0525,-5.9373,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9461771,2,0.0648,-5.9412,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9461821,2,0.0768,-5.9448,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9461871,2,0.0885,-5.9481,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9461921,2,0.1008,-5.9517,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9461971,2,0.1131,-5.9553,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9462021,2,0.1248,-5.9586,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9462071,2,0.1371,-5.9619,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9462121,2,0.1491,-5.9652,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9462171,2,0.1611,-5.9685,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9462221,2,0.1734,-5.9715,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9462271,2,0.1857,-5.9745,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9462321,2,0.1977,-5.9775,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9462371,2,0.21,-5.9802,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9462421,2,0.2223,-5.9829,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9462471,2,0.2346,-5.9856,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9462521,2,0.2466,-5.988,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9462571,2,0.2589,-5.9904,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9462621,2,0.2715,-5.9928,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9462671,2,0.2838,-5.9949,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9462721,2,0.2961,-5.9967,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9462771,2,0.3087,-5.9985,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9462821,2,0.321,-6.0,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9462871,2,0.3336,-6.0012,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9462921,2,0.3459,-6.0024,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9462971,2,0.3582,-6.0033,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9463021,2,0.3708,-6.0039,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9463071,2,0.3834,-6.0042,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9463121,2,0.396,-6.0042,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9463171,2,0.4086,-6.0036,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9463221,2,0.4212,-6.0027,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9463271,2,0.4335,-6.0015,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9463321,2,0.4458,-5.9997,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
y1_d145_ADQ_ANI,259,9463371,2,0.4584,-5.997,ANI,ADQ,y1,d145,y1_d145_ADQ_ANI_259
